"Photo","gm","chamber","lcl","ucl","pred"
8.78160631733333,0.0595920537273488,"ch08",8.71929258130565,9.84956331171151,9.30147269904798
8.836509756,0.0598134584261209,"ch12",8.72475254840589,9.85094410617922,9.30485910255419
9.0690375116,0.0722354369431446,"ch09",9.02344837293137,9.94920288910563,9.49485430969074
8.42873063406667,0.0739364570468096,"ch07",9.05959396699413,9.96504234823876,9.52087155537317
8.27825518925,0.0779914264508971,"ch04",9.14942694139329,9.99989930888466,9.58289265376793
11.0404936106667,0.082651632913945,"ch09",9.24825404189138,10.0424370834493,9.65417090393012
9.6137466775,0.0883296044525294,"ch11",9.37313632444677,10.0951162263117,9.7410159566011
9.8481587354,0.0889028413396347,"ch12",9.38887164478185,10.1004431774371,9.74978366304615
10.8538244266667,0.0901552409813776,"ch05",9.42027036307312,10.112932936512,9.76893922099729
9.59102950152,0.0916832779469188,"ch05",9.45537378689016,10.1280248318371,9.79231067501988
9.27269371588889,0.0920607430361427,"ch04",9.46372060693086,10.1327152284681,9.79808403533568
10.6003781225,0.094730429143366,"ch12",9.51013632668728,10.1675245889082,9.83891710908769
9.2222512072,0.0954712085964691,"ch05",9.52110087904881,10.1781343055455,9.85024739318389
9.40075917533333,0.0956147159960183,"ch04",9.52324480099123,10.1804911723562,9.85244235094087
10.2901918477778,0.0965719482101927,"ch01",9.54241527446259,10.190124006625,9.86708329823929
10.3679553375,0.0966015606815385,"ch10",9.54284350734732,10.1905049151519,9.86753622348139
9.74804740268,0.0994288225506094,"ch10",9.58738982106051,10.2210062780411,9.91077943177604
9.29070731475,0.100394078349693,"ch02",9.60324443785626,10.2302746094196,9.9255431004811
10.345720875,0.101436130828115,"ch07",9.62083518557232,10.2411428553557,9.9414813808616
8.70556545208333,0.1025055391126,"ch08",9.64343162153417,10.2530035268882,9.95783807059873
9.55302063,0.103143923396034,"ch10",9.65656811942198,10.2598532016532,9.96760221195492
9.29533107775,0.103223544071259,"ch04",9.65813441329342,10.2604018908968,9.96882001688519
11.576315885,0.106716842533869,"ch09",9.71878429907852,10.30735860207,10.0222503109469
10.4804897565,0.108255948522978,"ch02",9.74374831473772,10.3317080599113,10.0457910666168
10.4484086815,0.108627887367713,"ch02",9.74953413624123,10.3382689521073,10.051479902558
9.49787581325,0.108929796388331,"ch06",9.75423058494057,10.3426982228048,10.0560976264439
8.859533605,0.109051725411408,"ch05",9.75673066620023,10.3443311528108,10.0579625411162
11.0547125925,0.109549305512743,"ch09",9.76386757033315,10.3519989497843,10.0655730706539
11.3276091275,0.111271731572271,"ch12",9.79068414045508,10.3800375146379,10.0919177222333
10.42372913,0.11155174113829,"ch11",9.79505729940693,10.3840734986166,10.0962004921175
8.821363372,0.112362497345924,"ch07",9.80771960169037,10.3972889797699,10.1086010765651
10.3095482925,0.112403900754693,"ch06",9.80836623562602,10.3978389449775,10.1092343451877
8.79943036575,0.114817547158533,"ch12",9.84577312621707,10.430074793069,10.1461512701223
11.11797191,0.115395865260744,"ch08",9.85471617518724,10.4375701934902,10.1549966941801
9.77161241775,0.118685750999361,"ch03",9.90562199719822,10.4842503788832,10.2053157735045
11.3315310975,0.120332137366802,"ch03",9.93152464654574,10.5130748606029,10.2304973915922
10.4555317133334,0.126192796002337,"ch09",10.0066647712186,10.6135404398127,10.3201366587902
9.21565158133333,0.128427063174426,"ch11",10.04133971159,10.6514336836543,10.3543099632744
11.0077898025,0.128987272391945,"ch12",10.0529091656477,10.6644323421238,10.3628784104165
12.069830635,0.13385131042356,"ch01",10.1206777937599,10.750967696458,10.437274281579
11.01969826,0.133972614053706,"ch02",10.1218134180834,10.7529829553573,10.4391296308138
11.6671630075,0.137232038647632,"ch06",10.1631313146664,10.8199720163774,10.4889828043659
10.6930710775,0.137809757233874,"ch02",10.1679689314228,10.8311853951211,10.4978190587765
10.1026217475,0.138726829181777,"ch03",10.1756481765217,10.8500431866385,10.5118457514215
11.0027616822222,0.139171987369807,"ch07",10.1809721449799,10.8590902652095,10.5186544833821
11.438101742,0.141596793464851,"ch07",10.2178028652734,10.90870913138,10.5557420967331
9.691445092,0.142561954811144,"ch11",10.2310197188554,10.928515182155,10.5705043207748
11.4033377475,0.143879262184762,"ch10",10.2455797392552,10.9556265288001,10.5906526479491
10.166107932,0.144050400639816,"ch06",10.2479427756099,10.959125391371,10.5932702250261
9.49494029075,0.14621036753336,"ch08",10.2706812604152,11.0032851175743,10.6263071004952
11.3242118188889,0.158144783059254,"ch03",10.3612864053852,11.2559747305785,10.8088449906379
11.9399855166667,0.158265932856917,"ch01",10.3620743421655,11.2582718230429,10.8106979869919
12.3877454225,0.162296478518854,"ch01",10.3991417246519,11.3346940395543,10.8723455221944
11.1362201233333,0.17207831456717,"ch05",10.4697754988372,11.5530751534756,11.0219595280171
8.88552267225,0.175165232150517,"ch10",10.496401161701,11.6237974342261,11.0691741923202
9.811307733,0.205922879650263,"ch02",10.7491260894648,12.3383956249346,11.539615000098
